name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Bjursås Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.bjursassparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Dalslands Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.dalsbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Ekeby Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.ekebysparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Falkenbergs Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.falkenbergssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Fryksdalens Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.fryksdalenssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Hälsinglands Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.halsinglandssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Häradssparbanken Mönsterås,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.haradssparbanken.se,,,,,,,,,none,,none,,none,,none,,none,,false
Högsby Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.hogsbysparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Ivetofta Sparbank i Bromölla,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.ivetoftasparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Kinda Ydre Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.kindaydresparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Laholms Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.laholmssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Lekebergs Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.lekebergssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Leksands Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.leksandssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Lönneberga-Tuna-Vena Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.ltvsparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Markaryds Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.markarydssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Mjöbäcks Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.mjobackssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Norrbärke Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.norrbarke-sparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Orusts Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.orustsparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Roslagens Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.roslagenssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sala Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.salasparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sidensjö Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sidensjosparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Skurups Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.skurupssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Snapphanebygdens Sparbank,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.snapphanebygdenssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Bergslagen,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankenbergslagen.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Boken,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankenboken.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Alingsås,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankenalingsas.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Eken,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankeneken.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Gotland,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankengotland.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Göinge,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankengoinge.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken i Enköping,Sweden,SE,,,0,0,Sparbankernas Riksförbund,https://www.sparbankenenkoping.se,,,,,,,,,none,,none,,none,,none,,none,,false
