name,country_code,feature,maturity,evidence_url
Raiffeisen Bank Albania,AL,mobile_banking,intermediate,https://apps.apple.com/al/app/raiffeisen-on/id1194478857?uo=4
Raiffeisen Bank Albania,AL,open_banking,basic,https://www.raiffeisen.al
Allgemeine Sparkasse Oberosterreich,AT,ai_chatbot,basic,https://www.sparkasse.at/oberoesterreich
Allgemeine Sparkasse Oberosterreich,AT,digital_onboarding,basic,https://www.sparkasse.at/oberoesterreich
Dornbirner Sparkasse,AT,open_banking,basic,https://www.sparkasse.at/dornbirn
Dornbirner Sparkasse,AT,ai_chatbot,basic,https://www.sparkasse.at/dornbirn
Dornbirner Sparkasse,AT,digital_onboarding,basic,https://www.sparkasse.at/dornbirn
Karntner Sparkasse,AT,open_banking,basic,https://www.sparkasse.at/kaernten
Karntner Sparkasse,AT,ai_chatbot,basic,https://www.sparkasse.at/kaernten
Karntner Sparkasse,AT,digital_onboarding,basic,https://www.sparkasse.at/kaernten
Lienzer Sparkasse,AT,ai_chatbot,basic,https://www.sparkasse.at/lienz
Lienzer Sparkasse,AT,digital_onboarding,basic,https://www.sparkasse.at/lienz
Salzburger Sparkasse,AT,open_banking,basic,https://www.sparkasse.at/salzburg
Salzburger Sparkasse,AT,ai_chatbot,basic,https://www.sparkasse.at/salzburg
Salzburger Sparkasse,AT,digital_onboarding,basic,https://www.sparkasse.at/salzburg
Sparkasse Baden,AT,open_banking,basic,https://www.sparkasse.at/baden
Sparkasse Baden,AT,ai_chatbot,basic,https://www.sparkasse.at/baden
Sparkasse Baden,AT,digital_onboarding,basic,https://www.sparkasse.at/baden
Sparkasse Bludenz,AT,open_banking,basic,https://www.sparkasse.at/bludenz
Sparkasse Bludenz,AT,ai_chatbot,basic,https://www.sparkasse.at/bludenz
Sparkasse Bludenz,AT,digital_onboarding,basic,https://www.sparkasse.at/bludenz
Sparkasse Bregenz,AT,open_banking,basic,https://www.sparkasse.at/bregenz
Sparkasse Bregenz,AT,ai_chatbot,basic,https://www.sparkasse.at/bregenz
Sparkasse Bregenz,AT,digital_onboarding,basic,https://www.sparkasse.at/bregenz
Sparkasse der Stadt Amstetten,AT,mobile_banking,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4
Sparkasse der Stadt Amstetten,AT,open_banking,basic,https://www.sparkasse.at/amstetten
Sparkasse der Stadt Amstetten,AT,ai_chatbot,basic,https://www.sparkasse.at/amstetten
Sparkasse der Stadt Amstetten,AT,digital_onboarding,basic,https://www.sparkasse.at/amstetten
Sparkasse der Stadt Feldkirch,AT,mobile_banking,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4
Sparkasse der Stadt Feldkirch,AT,open_banking,basic,https://www.sparkasse.at/feldkirch
Sparkasse der Stadt Feldkirch,AT,ai_chatbot,basic,https://www.sparkasse.at/feldkirch
Sparkasse der Stadt Feldkirch,AT,digital_onboarding,basic,https://www.sparkasse.at/feldkirch
Sparkasse der Stadt Kitzbuhel,AT,mobile_banking,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4
Sparkasse der Stadt Kitzbuhel,AT,open_banking,basic,https://www.sparkasse.at/kitzbuehel
Sparkasse der Stadt Kitzbuhel,AT,ai_chatbot,basic,https://www.sparkasse.at/kitzbuehel
Sparkasse der Stadt Kitzbuhel,AT,digital_onboarding,basic,https://www.sparkasse.at/kitzbuehel
Sparkasse Hainburg-Bruck-Neusiedl,AT,open_banking,basic,https://www.sparkasse.at/hainburg
Sparkasse Hainburg-Bruck-Neusiedl,AT,ai_chatbot,basic,https://www.sparkasse.at/hainburg
