name,country,country_code,city,website,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,digital_score
Raiffeisen Bank Albania,Albania,AL,Tirana,https://www.raiffeisen.al,intermediate,https://apps.apple.com/al/app/raiffeisen-on/id1194478857?uo=4,basic,https://www.raiffeisen.al,none,,none,,none,,20
Allgemeine Sparkasse Oberosterreich,Austria,AT,Linz,https://www.sparkasse.at/oberoesterreich,none,,none,,basic,https://www.sparkasse.at/oberoesterreich,basic,https://www.sparkasse.at/oberoesterreich,none,,13
Dornbirner Sparkasse,Austria,AT,Dornbirn,https://www.sparkasse.at/dornbirn,none,,basic,https://www.sparkasse.at/dornbirn,basic,https://www.sparkasse.at/dornbirn,basic,https://www.sparkasse.at/dornbirn,none,,20
Karntner Sparkasse,Austria,AT,Klagenfurt,https://www.sparkasse.at/kaernten,none,,basic,https://www.sparkasse.at/kaernten,basic,https://www.sparkasse.at/kaernten,basic,https://www.sparkasse.at/kaernten,none,,20
Kremser Bank und Sparkassen,Austria,AT,Krems an der Donau,https://www.sparkasse.at/kremsersparkasse,none,,none,,none,,none,,none,,0
Lienzer Sparkasse,Austria,AT,Lienz,https://www.sparkasse.at/lienz,none,,none,,basic,https://www.sparkasse.at/lienz,basic,https://www.sparkasse.at/lienz,none,,13
Salzburger Sparkasse,Austria,AT,Salzburg,https://www.sparkasse.at/salzburg,none,,basic,https://www.sparkasse.at/salzburg,basic,https://www.sparkasse.at/salzburg,basic,https://www.sparkasse.at/salzburg,none,,20
Sparkasse Baden,Austria,AT,Baden,https://www.sparkasse.at/baden,none,,basic,https://www.sparkasse.at/baden,basic,https://www.sparkasse.at/baden,basic,https://www.sparkasse.at/baden,none,,20
Sparkasse Bludenz,Austria,AT,Bludenz,https://www.sparkasse.at/bludenz,none,,basic,https://www.sparkasse.at/bludenz,basic,https://www.sparkasse.at/bludenz,basic,https://www.sparkasse.at/bludenz,none,,20
Sparkasse Bregenz,Austria,AT,Bregenz,https://www.sparkasse.at/bregenz,none,,basic,https://www.sparkasse.at/bregenz,basic,https://www.sparkasse.at/bregenz,basic,https://www.sparkasse.at/bregenz,none,,20
Sparkasse der Stadt Amstetten,Austria,AT,Amstetten,https://www.sparkasse.at/amstetten,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4,basic,https://www.sparkasse.at/amstetten,basic,https://www.sparkasse.at/amstetten,basic,https://www.sparkasse.at/amstetten,none,,27
Sparkasse der Stadt Feldkirch,Austria,AT,Feldkirch,https://www.sparkasse.at/feldkirch,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4,basic,https://www.sparkasse.at/feldkirch,basic,https://www.sparkasse.at/feldkirch,basic,https://www.sparkasse.at/feldkirch,none,,27
Sparkasse der Stadt Kitzbuhel,Austria,AT,Kitzbuhel,https://www.sparkasse.at/kitzbuehel,basic,https://apps.apple.com/us/app/s-immo-rnn/id1611184658?uo=4,basic,https://www.sparkasse.at/kitzbuehel,basic,https://www.sparkasse.at/kitzbuehel,basic,https://www.sparkasse.at/kitzbuehel,none,,27
Sparkasse Eferding-Peuerbach-Waizenkirchen,Austria,AT,Eferding,https://www.sparkasse.at/eferding,none,,none,,none,,none,,none,,0
Sparkasse Hainburg-Bruck-Neusiedl,Austria,AT,Hainburg an der Donau,https://www.sparkasse.at/hainburg,none,,basic,https://www.sparkasse.at/hainburg,basic,https://www.sparkasse.at/hainburg,basic,https://www.sparkasse.at/hainburg,none,,20
Sparkasse Hartberg-Vorau,Austria,AT,Hartberg,https://www.sparkasse.at/hartberg-vorau,none,,none,,none,,none,,none,,0
Sparkasse Horn-Ravelsbach-Kirchberg,Austria,AT,Horn,https://www.sparkasse.at/horn,none,,basic,https://www.sparkasse.at/horn,basic,https://www.sparkasse.at/horn,basic,https://www.sparkasse.at/horn,none,,20
Sparkasse Imst,Austria,AT,Imst,https://www.sparkasse.at/imst,none,,none,,basic,https://www.sparkasse.at/imst,basic,https://www.sparkasse.at/imst,none,,13
Sparkasse Korneuburg,Austria,AT,Korneuburg,https://www.sparkasse.at/korneuburg,none,,none,,basic,https://www.sparkasse.at/korneuburg,basic,https://www.sparkasse.at/korneuburg,none,,13
Sparkasse Kremstal-Pyhrn,Austria,AT,Kirchdorf an der Krems,https://www.sparkasse.at/kremstal-pyhrn,none,,none,,none,,none,,none,,0
Sparkasse Kufstein,Austria,AT,Kufstein,https://www.sparkasse.at/kufstein,none,,basic,https://www.sparkasse.at/kufstein,basic,https://www.sparkasse.at/kufstein,basic,https://www.sparkasse.at/kufstein,none,,20
Sparkasse Muhlviertel-West,Austria,AT,Rohrbach,https://www.sparkasse.at/muehlviertel-west,none,,none,,none,,none,,none,,0
