entity_id,field,value,source_url,source_title,source_type,access_date,evidence_snippet,confidence
ES_SB_001,digital_competitiveness_rank_2025,29,https://imd.widen.net/content/f5w2yyu6wv/pdf/IMD_WDCR_2025.pdf,IMD World Digital Competitiveness Ranking 2025,ranking_report,2026-02-11,Spain appears at rank 29 in the 2025 table.,High
ES_SB_001,has_mobile_app,Yes,https://www.caixabank.es/particular/movilidad/googlepay_es.html,CaixaBank mobile services (Google Pay and app ecosystem),bank_site,2026-02-11,CaixaBank documents mobile payment and app services for retail customers.,High
ES_SB_001,has_open_banking_apis,Yes,https://developer.caixabank.com/apimarket/store/site/pages/open-banking/index.jag,CaixaBank API Market Open Banking,developer_portal,2026-02-11,Official open banking developer/API portal is publicly listed.,High
ES_SB_001,has_digital_onboarding,Yes,https://www.caixabank.es/particular/cuentas-bancarias/cuenta-online_es.html,Cuenta Online CaixaBank,bank_site,2026-02-11,Online account opening journey is available.,High
ES_SB_001,has_ai_chatbot_support,Yes,https://www.caixabank.com/comunicacion/noticias/corporativas/noa-ayudara-a-mejorar-la-comunicacion-con-los-clientes_es.html,CaixaBank announces NOA virtual assistant,bank_newsroom,2026-02-11,NOA is described as a virtual assistant supporting customer communications.,High
ES_SB_001,has_devops_cloud_expertise,Yes,https://www.caixabanktech.com/cases/google-cloud-journey,CaixaBank Tech cloud transformation case,tech_blog,2026-02-11,Cloud journey and modernization are described in CaixaBank Tech materials.,Medium-High
ES_SB_002,digital_competitiveness_rank_2025,24,https://imd.widen.net/content/f5w2yyu6wv/pdf/IMD_WDCR_2025.pdf,IMD World Digital Competitiveness Ranking 2025,ranking_report,2026-02-11,Austria appears at rank 24.,High
ES_SB_002,has_mobile_app,Yes,https://www.sparkasse.at/erstebank/george-mobile,George mobile app (Erste Bank / Sparkasse),bank_site,2026-02-11,George mobile app is an official banking channel.,High
ES_SB_002,has_open_banking_apis,Yes,https://api.sparkasse.at,Erste/Sparkasse API portal,developer_portal,2026-02-11,Public API portal exists for Sparkasse Austria ecosystem.,High
ES_SB_002,has_digital_onboarding,Yes,https://www.sparkasse.at/erstebank/privatkunden/konto-karten/konto/onlinekonto,Erste online account opening,bank_site,2026-02-11,Customers can open account online.,High
ES_SB_002,has_ai_chatbot_support,Yes,https://www.erstegroup.com/en/news-media/press-releases/2024/3/14/financial-health-prototype,Erste Group financial health prototype with AI assistant,bank_press_release,2026-02-11,Erste references AI assistant capabilities in digital banking context.,Medium
ES_SB_002,has_devops_cloud_expertise,Yes,https://www.erstedigital.com/en,Erste Digital,tech_org_site,2026-02-11,Engineering scope includes data/cloud/code capabilities.,Medium
ES_SB_003,digital_competitiveness_rank_2025,35,https://imd.widen.net/content/f5w2yyu6wv/pdf/IMD_WDCR_2025.pdf,IMD World Digital Competitiveness Ranking 2025,ranking_report,2026-02-11,Czech Republic appears at rank 35.,High
ES_SB_003,has_mobile_app,Yes,https://www.csas.cz/cs/obcane/digitalni-sluzby-a-aplikace/aplikace-george,George app for Česká spořitelna,bank_site,2026-02-11,George app is listed as official mobile banking app.,High
