bank_name,field,value,source_url,source_type,access_date,verification_status,notes
CaixaBank,annual_report_url,https://www.caixabank.com/en/headlines/news/caixabank-reports-a-net-profit-of--5-79-billion-in-2024-up-20-2--and-far-exceeds-the-targets-set-in-the-2022-2024-strategic-plan,https://www.caixabank.com/en/headlines/news/caixabank-reports-a-net-profit-of--5-79-billion-in-2024-up-20-2--and-far-exceeds-the-targets-set-in-the-2022-2024-strategic-plan,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
CaixaBank,case_study_url,https://www.caixabank.com/en/headlines/news/caixabank-tech-will-hire-500-developers-in-the-first-quarter-of-2025-surpassing-1-600-employees,https://www.caixabank.com/en/headlines/news/caixabank-tech-will-hire-500-developers-in-the-first-quarter-of-2025-surpassing-1-600-employees,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
CaixaBank,press_release_url,https://www.caixabank.com/en/headlines/news/caixabank-recognised-as-the-most-innovative-bank-in-western-europe-by-global-finance,https://www.caixabank.com/en/headlines/news/caixabank-recognised-as-the-most-innovative-bank-in-western-europe-by-global-finance,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Groupe BPCE (Caisse d'Epargne network),annual_report_url,https://www.groupebpce.com/en/investor-relations/financial-results,https://www.groupebpce.com/en/investor-relations/financial-results,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Groupe BPCE (Caisse d'Epargne network),case_study_url,https://newsroom-en.groupebpce.fr/news/groupe-bpce-plans-to-set-up-a-common-technological-platform-for-the-banque-populaire-and-caisse-depargne-banks-8455b-53927.html,https://newsroom-en.groupebpce.fr/news/groupe-bpce-plans-to-set-up-a-common-technological-platform-for-the-banque-populaire-and-caisse-depargne-banks-8455b-53927.html,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Groupe BPCE (Caisse d'Epargne network),press_release_url,https://newsroom-en.groupebpce.fr/news/the-bpce-group-is-accelerating-the-adoption-of-generative-artificial-intelligence-to-serve-clients-advisors-and-all-employees-reaching-the-milestone-of-one-in-two-employees-using-ai-on-a-daily-basis-69302-53927.html,https://newsroom-en.groupebpce.fr/news/the-bpce-group-is-accelerating-the-adoption-of-generative-artificial-intelligence-to-serve-clients-advisors-and-all-employees-reaching-the-milestone-of-one-in-two-employees-using-ai-on-a-daily-basis-69302-53927.html,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Erste Group (Sparkassen),annual_report_url,https://www.erstegroup.com/en/investors/annualreport2024,https://www.erstegroup.com/en/investors/annualreport2024,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Erste Group (Sparkassen),case_study_url,https://www.erstedigital.com/en/home,https://www.erstedigital.com/en/home,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Erste Group (Sparkassen),press_release_url,https://www.erstegroup.com/en/news-media/press-releases/2025/02/28/erste-group-results-2024,https://www.erstegroup.com/en/news-media/press-releases/2025/02/28/erste-group-results-2024,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Sparkassen-Finanzgruppe,annual_report_url,https://www.dsgv.de/sparkassen-finanzgruppe/publikationen/Finanzbericht_2024.html,https://www.dsgv.de/sparkassen-finanzgruppe/publikationen/Finanzbericht_2024.html,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Sparkassen-Finanzgruppe,case_study_url,https://www.sparkasse.de/pk/produkte/konten-und-karten/finanzen-apps/s-app.html,https://www.sparkasse.de/pk/produkte/konten-und-karten/finanzen-apps/s-app.html,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Sparkassen-Finanzgruppe,press_release_url,https://www.dsgv.de/newsroom/presse/250327_PM_Gemeinwohl_Zahlen_20.html,https://www.dsgv.de/newsroom/presse/250327_PM_Gemeinwohl_Zahlen_20.html,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Banque et Caisse d'Epargne de l'Etat (Spuerkeess),annual_report_url,https://www.spuerkeess.lu/fr/a-propos-de-nous/publications/donnees-financieres/,https://www.spuerkeess.lu/fr/a-propos-de-nous/publications/donnees-financieres/,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Banque et Caisse d'Epargne de l'Etat (Spuerkeess),case_study_url,https://www.spuerkeess.lu/en/snet/,https://www.spuerkeess.lu/en/snet/,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Banque et Caisse d'Epargne de l'Etat (Spuerkeess),press_release_url,,,press_release,2026-02-12,pending_source_validation,Pending strict validation.
Ceska sporitelna,annual_report_url,https://www.csas.cz/en/news/2025/03/26-1/we-are-thriving-and-we-will-continue-investing-in-the-czech-republic-reports-ceska-sporitelna-the-bank-posted-a-profit-of-czk-26-billion-last-year,https://www.csas.cz/en/news/2025/03/26-1/we-are-thriving-and-we-will-continue-investing-in-the-czech-republic-reports-ceska-sporitelna-the-bank-posted-a-profit-of-czk-26-billion-last-year,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Ceska sporitelna,case_study_url,https://www.csas.cz/cs/o-nas/pro-media/tiskove-zpravy/2024/01/11/sporitelna-spousti-poradenskou-aplikaci-fit-zona-s-cilem-zvysit-financni-zdravi-klientu-a-testuje-ai-digitalniho-poradce,https://www.csas.cz/cs/o-nas/pro-media/tiskove-zpravy/2024/01/11/sporitelna-spousti-poradenskou-aplikaci-fit-zona-s-cilem-zvysit-financni-zdravi-klientu-a-testuje-ai-digitalniho-poradce,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Ceska sporitelna,press_release_url,https://www.csas.cz/cs/o-nas/pro-media/tiskove-zpravy/2025/08/27/sporitelna-spousti-ai-voicebota-na-platforme-open-ai-klientum-sjedna-schuzku-s-bankerem-pomuze-se-spravou-produktu-pripadne-jim-sam-zatelefonuje,https://www.csas.cz/cs/o-nas/pro-media/tiskove-zpravy/2025/08/27/sporitelna-spousti-ai-voicebota-na-platforme-open-ai-klientum-sjedna-schuzku-s-bankerem-pomuze-se-spravou-produktu-pripadne-jim-sam-zatelefonuje,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Slovenska sporitelna,annual_report_url,https://www.slsp.sk/en/news/2025/2/28/consolidated-operating-profit-of-slovenska-sporitelna-grew-by-12-2,https://www.slsp.sk/en/news/2025/2/28/consolidated-operating-profit-of-slovenska-sporitelna-grew-by-12-2,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
Slovenska sporitelna,case_study_url,https://www.slsp.sk/sk/ludia/elektronicke-bankovnictvo/push-notifikacie,https://www.slsp.sk/sk/ludia/elektronicke-bankovnictvo/push-notifikacie,case_study_or_tech_source,2026-02-12,verified,Directly validated in strict rebuild v2.
Slovenska sporitelna,press_release_url,https://www.slsp.sk/sk/aktuality/2025/5/2/najlepsou-bankovou-aplikaciou-je-opat-george-v-ankete-smart-banka-o-tom-rozhodol-rekordny-pocet-ludi,https://www.slsp.sk/sk/aktuality/2025/5/2/najlepsou-bankovou-aplikaciou-je-opat-george-v-ankete-smart-banka-o-tom-rozhodol-rekordny-pocet-ludi,press_release,2026-02-12,verified,Directly validated in strict rebuild v2.
Savings Banks Group (Saastopankki),annual_report_url,https://www.saastopankki.fi/en/savingsbanksgroup/financial-information/financial-materials,https://www.saastopankki.fi/en/savingsbanksgroup/financial-information/financial-materials,annual_report,2026-02-12,verified,Directly validated in strict rebuild v2.
