name,country,website,mobile_banking,open_banking,digital_onboarding,ai_chatbot,devops_cloud,digital_score,digital_tier,annual_report_url,case_study_url,press_release_url,assessment_confidence,evidence_status,notes
CaixaBank,Spain,https://www.caixabank.es,advanced,advanced,advanced,intermediate,advanced,93,Digital Leader,https://www.caixabank.com/en/headlines/news/caixabank-reports-a-net-profit-of--5-79-billion-in-2024-up-20-2--and-far-exceeds-the-targets-set-in-the-2022-2024-strategic-plan,https://www.caixabanktech.com/cases/google-cloud-journey,https://www.caixabank.com/en/headlines/news/caixabank-invests--1-368-billion-in-technology-and-development-in-2024-an-8-3-increase-from-the-previous-year-,High,deep_researched,Official results + tech transformation + innovation press evidence reviewed.
Groupe BPCE (Caisse d'Epargne network),France,https://www.groupebpce.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://www.groupebpce.com/investisseurs/resultats-et-publications/performance-en-bref,https://www.groupebpce.com/en/newsroom,https://www.ppr.groupebpce.com/app/uploads/2025/02/groupebpce-pr-results-q4-242024fv-1.pdf,High,deep_researched,Investor publications and official results documentation used.
Erste Group (Sparkassen),Austria,https://www.erstegroup.com,advanced,advanced,advanced,intermediate,intermediate,87,Digital Leader,https://www.erstegroup.com/en/investors/annualreport2024,https://www.erstedigital.com/en,https://www.erstegroup.com/en/news-media/press-releases/2024/3/14/financial-health-prototype,High,deep_researched,Annual report + Erste Digital capability + AI-related press release reviewed.
Sparkassen-Finanzgruppe,Germany,https://www.sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.dsgv.de/sparkassen-finanzgruppe/publikationen/Finanzbericht_2024.html,https://www.dsv-gruppe.de/,https://www.sparkasse.de/pk/ratgeber/onlinebanking/,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Banque et Caisse d'Epargne de l'Etat (Spuerkeess),Luxembourg,https://www.spuerkeess.lu,advanced,basic,advanced,none,basic,53,Developing,https://www.spuerkeess.lu/en/about-us/publications/,https://www.spuerkeess.lu/en/about-us/,https://www.spuerkeess.lu/en/private-customers/become-customer-online/,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Ceska sporitelna,Czech Republic,https://www.csas.cz,advanced,intermediate,intermediate,intermediate,intermediate,73,Advanced,https://www.csas.cz/en/about-us/investor-relations/annual-reports,https://customers.microsoft.com/en-gb/story/1483761230195727099-ceska-sporitelna-azure-en-czech-republic,https://www.csas.cz/cs/o-nas/pro-media/tiskove-zpravy/2023/12/19/ceska-sporitelna-spustila-ai-chatbot,High,deep_researched,Cloud modernization and AI chatbot release captured from official/primary sources.
Slovenska sporitelna,Slovakia,https://www.slsp.sk,advanced,intermediate,basic,basic,intermediate,60,Advanced,https://www.slsp.sk/sk/aktuality/2025/2/28/konsolidovany-prevadzkovy-zisk-slovenskej-sporitelne-vzrastol-medzirocne-o-12-2-percenta,https://www.erstedigital.com/en,https://www.slsp.sk/sk/ludia/pomoc-a-podpora,Medium,deep_researched,Deep-researched with official sources; annual source is a financial-results/reporting page rather than a standalone annual-report PDF index.
Savings Banks Group (Saastopankki),Finland,https://www.saastopankki.fi,advanced,basic,advanced,basic,basic,60,Advanced,https://www.saastopankki.fi/en/savingsbanksgroup/financial-information/financial-materials,https://www.saastopankki.fi/en-gb/about-us,https://www.saastopankki.fi/fi-fi/asiakaspalvelu/chatbot,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
SpareBank 1 Alliance,Norway,https://www.sparebank1.no,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,https://www.sparebank1.no/nb/bank/om-oss/investor-relations.html,https://sparebank1utvikling.medium.com,https://www.sparebank1.no/nb/smn/om-oss/nyheter/den-digitale-assistenten-har-flyttet-inn.html,Medium-High,deep_researched,Digital assistant and engineering capability evidence captured; some sources are subsidiary-level.
Swedbank and Savings Banks,Sweden,https://www.swedbank.com,advanced,advanced,intermediate,basic,intermediate,73,Advanced,https://www.swedbank.com/investor-relations/reports-and-presentations/annual-reports.html,https://developer.swedbank.com,https://www.swedbank.com/newsroom.html,Medium-High,deep_researched,Strong open banking and annual reporting evidence; AI/cloud depth less explicit in public pages.
OTP Bank,Hungary,https://www.otpbank.hu,advanced,basic,intermediate,none,basic,47,Developing,https://www.otpgroup.info/investor-relations/reports/annual,https://www.otpbank.hu/portal/en/Aboutus,https://www.otpbank.hu/portal/en/Bank_Account/basic,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Caixa Geral de Depositos,Portugal,https://www.cgd.pt,advanced,basic,intermediate,basic,basic,53,Developing,https://www.cgd.pt/English/Investor-Relations/Financial-Information/CGD/Pages/CGD-Annual-Reports.aspx,https://www.cgd.pt/Institucional/Pages/default.aspx,https://www.cgd.pt/Particulares/Apoio-Cliente/Pages/default.aspx,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Banco Montepio,Portugal,https://www.bancomontepio.pt,advanced,basic,intermediate,none,basic,47,Developing,https://www.bancomontepio.pt/en/institutional/investor-relations/funding-programmes,https://www.bancomontepio.pt/institucional/,https://www.bancomontepio.pt/particulares/contas/conta-online/,Medium,deep_researched,Deep-researched with official sources; annual source is a financial-results/reporting page rather than a standalone annual-report PDF index.
de Volksbank,Netherlands,https://www.devolksbank.nl,advanced,basic,intermediate,none,intermediate,53,Developing,https://www.devolksbank.nl/en/investor-relations/annual-reports,https://www.devolksbank.nl/werken-bij.html,https://www.regiobank.nl/particulier/bankrekening/openen.html,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Rabobank,Netherlands,https://www.rabobank.com,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,https://www.rabobank.com/about-rabobank/investor-relations/results-and-reports,https://developer.rabobank.nl,https://www.rabobank.com/knowledge,Medium-High,deep_researched,Developer platform and investor publications support digital capability assessment.
Raiffeisen Bank International,Austria,https://www.rbinternational.com,advanced,basic,intermediate,none,intermediate,53,Developing,https://www.rbinternational.com/en/investors/results-reports/annual-reports.html,https://www.rbinternational.com/en/careers/it-digital.html,https://www.raiffeisen.at/rch/de/privatkunden/konten.html,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Raiffeisen Switzerland,Switzerland,https://www.raiffeisen.ch,advanced,basic,intermediate,none,basic,47,Developing,https://www.raiffeisen.ch/rch/de/ueber-uns/news/rch/geschaeftsberichterstattung-2024.html,https://www.raiffeisen.ch/rch/en/about-raiffeisen/careers.html,https://www.raiffeisen.ch/rch/en/private-customers/accounts-and-packages.html,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
OP Financial Group,Finland,https://www.op.fi,advanced,basic,advanced,none,intermediate,60,Advanced,https://www.op.fi/op-financial-group/reports,https://www.op.fi/corporate-customers/open-banking,https://www.op.fi/web/op-group/newsroom,Medium-High,deep_researched,Open-banking and reporting maturity documented in official sources.
Nationwide Building Society,United Kingdom,https://www.nationwide.co.uk,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://www.nationwide.co.uk/about-us/investor-relations/financial-results-and-events/,https://developer.nationwideopenbanking.co.uk,https://www.nationwide.co.uk/news-and-stories/,Medium,deep_researched,Good annual-report and open-banking evidence; public AI/cloud specificity is moderate.
Coventry Building Society,United Kingdom,https://www.coventrybuildingsociety.co.uk,advanced,basic,intermediate,none,basic,47,Developing,https://www.coventrybuildingsociety.co.uk/content/dam/cbs/member/pdfs/financial-results/2024/annual-report-and-accounts-2024.pdf,https://www.coventrybuildingsociety.co.uk/careers.html,https://www.coventrybuildingsociety.co.uk/member/product/current-account.html,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Skipton Building Society,United Kingdom,https://www.skipton.co.uk,advanced,basic,intermediate,none,basic,47,Developing,https://www.skipton.co.uk/content/dam/sbs-sites/skipton-co-uk/documents/about-us/financial-results/2024/annual-reports-and-accounts-2024.pdf,https://www.skipton.co.uk/about-us/careers,https://www.skipton.co.uk/mortgages/first-time-buyers/track-record-mortgage,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Yorkshire Building Society,United Kingdom,https://www.ybs.co.uk,advanced,basic,intermediate,none,basic,47,Developing,https://www.ybs.co.uk/your-society/reports,https://www.ybs.co.uk/careers,https://www.ybs.co.uk/current-accounts,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Principality Building Society,United Kingdom,https://www.principality.co.uk,advanced,basic,intermediate,none,basic,47,Developing,https://www.principality.co.uk/home/corporate-governance/financial-reports,https://www.principality.co.uk/careers,https://www.principality.co.uk/savings/current-account,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Bank of Valletta,Malta,https://www.bov.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://www.bov.com/financial-reports,https://www.bov.com/careers,https://www.bov.com/help-and-support,Medium,deep_researched,Deep-researched with official sources; annual source is a financial-results/reporting page rather than a standalone annual-report PDF index.
Aktia Bank,Finland,https://www.aktia.com,advanced,basic,intermediate,none,basic,47,Developing,https://www.aktia.com/en/investors/reports-and-presentations/year/2024,https://www.aktia.com/en/careers,https://www.aktia.fi/en/become-customer,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Banca Popolare di Sondrio,Italy,https://www.popso.it,advanced,none,intermediate,none,basic,40,Developing,https://istituzionale.popso.it/en/investor-relations/reports,https://www.popso.it/lavora-con-noi,https://www.popso.it/apriconto,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Sparkasse KoelnBonn,Germany,https://www.sparkasse-koelnbonn.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.sparkasse-koelnbonn.de/content/dam/myif/spk-koelnbonn/work/dokumente/pdf/unternehmen/zahlen-und-fakten/jahresabschluesse/JA_2024.pdf?n=true,https://www.sparkasse-koelnbonn.de/de/home/ihre-sparkasse/karriere.html,https://www.sparkasse-koelnbonn.de/de/home/service/kontakt.html,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Hamburger Sparkasse (Haspa),Germany,https://www.haspa.de,advanced,basic,intermediate,basic,basic,53,Developing,https://www.haspa.de/de/home/unternehmen-haspa/presse/pressemitteilungen/pressemitteilungen-2025/geschaeftsergebnis-2024.html,https://www.haspa.de/de/home/ihre-haspa/karriere.html,https://www.haspa.de/de/home/service/kontakt.html,Medium,deep_researched,Deep-researched with official sources; annual source is a financial-results/reporting page rather than a standalone annual-report PDF index.
Ibercaja Banco,Spain,https://www.ibercaja.es,advanced,basic,intermediate,basic,basic,53,Developing,https://www.ibercaja.com/sustainability/annual-report,https://www.ibercaja.es/empleo/tecnologia/,https://www.ibercaja.es/particulares/atencion-cliente/,High,deep_researched,"Deep-researched with official annual report/results publication, plus case-study/technology and press/news evidence."
Kutxabank,Spain,https://www.kutxabank.es,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://portal.kutxabank.es/cs/Satellite/kb/es/informacion-corporativa/inversores,https://www.kutxabank.es/es/quienes-somos,https://portal.kutxabank.es/cs/Satellite/kb/es/atencion-cliente,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Unicaja Banco,Spain,https://www.unicajabanco.es,advanced,basic,intermediate,basic,basic,53,Developing,https://www.unicajabanco.com/es/relacion-con-inversores/informacion-financiera,https://www.unicajabanco.es/es/empleo,https://www.unicajabanco.es/es/atencion-cliente,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
ABANCA,Spain,https://www.abanca.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,https://www.abanca.com/es/accionistas-e-inversores/informacion-financiera/,https://www.abanca.com/es/sobre-abanca/empleo/,https://www.abanca.com/es/ayuda/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Cajamar Caja Rural,Spain,https://www.cajamar.es,advanced,basic,intermediate,none,basic,47,Developing,https://www.bcc.es/en/informacion-corporativa/sala-de-prensa/ano-2025/grupo-cajamar-gana-326-millones-de-euros-por-el-crecimiento-de-los-ingresos-del-negocio-bancario/,https://www.cajamar.es/es/sobre-cajamar/empleo/,https://www.cajamar.es/es/particulares/cuentas/cuenta-wefferent/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Credit Mutuel Alliance Federale,France,https://www.creditmutuel.fr,advanced,basic,intermediate,intermediate,advanced,73,Advanced,https://www.creditmutuelalliancefederale.fr/en/financial-information/,https://www.creditmutuelalliancefederale.fr/en/who-are-we/key-figures.html,https://www.creditmutuel.fr/fr/particuliers/contacts/assistant-virtuel.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Credit Agricole Group,France,https://www.credit-agricole.com,advanced,basic,intermediate,basic,advanced,67,Advanced,https://www.credit-agricole.com/en/finance/finance/financial-publications,https://www.credit-agricole.com/en/finance/finance/financial-publications,https://www.credit-agricole.fr/particulier/conseils/chatbot.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
BCC Iccrea Group,Italy,https://www.gruppobcciccrea.it,intermediate,basic,intermediate,none,intermediate,47,Developing,https://www.gruppobcciccrea.it/it-IT/Pagine/default.aspx,https://www.gruppobcciccrea.it/it-IT/Pagine/lavora-con-noi.aspx,https://www.gruppobcciccrea.it/it-IT/Pagine/conti-correnti.aspx,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Cassa Centrale Banca Group,Italy,https://www.cassacentrale.it,intermediate,basic,intermediate,none,intermediate,47,Developing,https://www.cassacentrale.it/it/chi-siamo,https://www.cassacentrale.it/it/lavora-con-noi,https://www.cassacentrale.it/it/privati/conti-correnti,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Nykredit,Denmark,https://www.nykredit.com,advanced,basic,intermediate,none,intermediate,53,Developing,https://www.nykredit.com/investor-relations/reports/,https://www.nykredit.com/careers/it-tech/,https://www.nykredit.dk/dit-liv/boligbank/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Bank Norwegian (Nordax Group),Norway,https://www.banknorwegian.no,advanced,none,advanced,none,intermediate,53,Developing,https://www.nordaxgroup.com/en/investor-relations/reports-and-presentations/,https://www.nordaxgroup.com/en/careers/,https://www.banknorwegian.no/kundeservice/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Banca Transilvania,Romania,https://www.bancatransilvania.ro,advanced,basic,intermediate,intermediate,intermediate,67,Advanced,https://www.bancatransilvania.ro/en/investor-relations/financial-results,https://www.bancatransilvania.ro/en/about-us/careers,https://www.bancatransilvania.ro/en/contact,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
CEC Bank,Romania,https://www.cec.ro,intermediate,basic,basic,none,basic,33,Nascent,https://www.cec.ro/despre-cec-bank,https://www.cec.ro/despre-cec-bank/cariere,https://www.cec.ro/persoane-fizice/conturi-si-pachete,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
DZ Bank Group,Germany,https://www.dzbank.com,intermediate,basic,basic,none,advanced,47,Developing,https://www.dzbank.com/content/dzbank/en/home/investor-relations/reports-presentations.html,https://www.dzbank.com/content/dzbank/en/home/careers.html,https://www.volksbank.de/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
Berliner Volksbank,Germany,https://www.berliner-volksbank.de,advanced,basic,intermediate,none,basic,47,Developing,https://www.berliner-volksbank.de/meine-bank/ueber-uns/zahlen-fakten.html,https://www.berliner-volksbank.de/meine-bank/karriere.html,https://www.berliner-volksbank.de/privatkunden/girokonto-und-kreditkarten/girokonto.html,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
GLS Bank,Germany,https://www.gls.de,intermediate,basic,intermediate,none,intermediate,47,Developing,https://www.gls.de/privatkunden/gls-bank/geschaeftsbericht/,https://www.gls.de/karriere/,https://www.gls.de/privatkunden/konto/,Medium-High,deep_researched,Deep-researched with official financial-reporting/investor source and bank digital/press evidence links.
