name,country,website,mobile_banking,open_banking,digital_onboarding,ai_chatbot,devops_cloud,digital_score,digital_tier,annual_report_url,case_study_url,press_release_url,assessment_confidence,evidence_status,notes
CaixaBank,Spain,https://www.caixabank.es,advanced,advanced,advanced,intermediate,advanced,93,Digital Leader,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Groupe BPCE (Caisse d'Epargne network),France,https://www.groupebpce.com,advanced,basic,intermediate,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Erste Group (Sparkassen),Austria,https://www.erstegroup.com,advanced,advanced,advanced,intermediate,intermediate,87,Digital Leader,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Sparkassen-Finanzgruppe,Germany,https://www.sparkasse.de,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banque et Caisse d'Epargne de l'Etat (Spuerkeess),Luxembourg,https://www.spuerkeess.lu,advanced,basic,advanced,none,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Ceska sporitelna,Czech Republic,https://www.csas.cz,advanced,intermediate,intermediate,intermediate,intermediate,73,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Slovenska sporitelna,Slovakia,https://www.slsp.sk,advanced,intermediate,basic,basic,intermediate,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Savings Banks Group (Saastopankki),Finland,https://www.saastopankki.fi,advanced,basic,advanced,basic,basic,60,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
SpareBank 1 Alliance,Norway,https://www.sparebank1.no,advanced,intermediate,intermediate,basic,intermediate,67,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Swedbank and Savings Banks,Sweden,https://www.swedbank.com,advanced,advanced,intermediate,basic,intermediate,73,Advanced,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
OTP Bank,Hungary,https://www.otpbank.hu,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Caixa Geral de Depositos,Portugal,https://www.cgd.pt,advanced,basic,intermediate,basic,basic,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
Banco Montepio,Portugal,https://www.bancomontepio.pt,advanced,basic,intermediate,none,basic,47,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
de Volksbank,Netherlands,https://www.devolksbank.nl,advanced,basic,intermediate,none,intermediate,53,Developing,,,,Unverified,pending_source_validation,Evidence links removed because they were not source-validated in a strict browsing pass.
