name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Allgemeine Sparkasse Oberosterreich,15055,440,,,1700,140,1849,2023,https://thebanks.eu/banks/9885
Dornbirner Sparkasse,3280,84,,,350,15,1867,2023,https://www.sparkasse.at/dornbirn/news/2024/bilanz2023
Karntner Sparkasse,5060,315,4130,,598,51,1835,2023,https://www.mein-klagenfurt.at/aktuelle-pressemeldungen/pressemeldungen-maerz-2024/gewinn-verdoppelt-kaerntner-sparkasse-erfolgreich-mit-dynamischem-wachstum
Kremser Bank und Sparkassen,811,27,,,112,6,1856,2023,https://thebanks.eu/banks/9902
Lienzer Sparkasse,488,,643,,,,1878,2023,https://thebanks.eu/banks/10125
Salzburger Sparkasse,8046,236,,,596,54,1855,2023,https://www.sparkasse.at/salzburg/presseaussendungen/2024/03/28/Bilanz_2023_Salzburger_Sparkasse_mit_starker_Kapitalausstattung_ein_verlaesslicher_Partner
Sparkasse Baden,1437,62,,,188,11,1868,2023,https://thebanks.eu/banks/10530
Sparkasse Bludenz,896,,,,,,1892,2023,https://thebanks.eu/banks/10531
Sparkasse Bregenz,982,,,,,,1822,2023,https://de.wikipedia.org/wiki/Sparkasse_Bregenz
Sparkasse Eferding-Peuerbach-Waizenkirchen,1082,,,,128,12,1864,2023,https://thebanks.eu/banks/10047
Sparkasse Hainburg-Bruck-Neusiedl,1374,58,,,105,10,1867,2023,https://thebanks.eu/banks/10533
Sparkasse Hartberg-Vorau,,,,,,,,,,
Sparkasse Horn-Ravelsbach-Kirchberg,783,29,,,114,,1862,2023,https://thebanks.eu/banks/10536
Sparkasse Imst,1458,,,,150,15,1882,2023,https://www.sparkasse.at/imst/meine_sparkasse_imst/newsroom/Geschftsbericht
Sparkasse Korneuburg,915,25,,,,,1869,2023,https://thebanks.eu/banks/10538
Sparkasse Kremstal-Pyhrn,,,,,,,,,,
Sparkasse Kufstein,2765,58,2060,,,19,1877,2023,https://www.sparkasse.at/kufstein/wir-ueber-uns/wir-ueber-uns-geschaeftsbericht
Sparkasse Muhlviertel-West,1045,37,,,140,16,1869,2023,https://thebanks.eu/banks/10544
Sparkasse Neunkirchen,1538,51,,,170,13,1871,2023,https://thebanks.eu/banks/10546
Sparkasse Niederosterreich Mitte West,3556,100,,,450,33,1854,2023,https://www.sparkasse.at/noe/wir-ueber-uns
Sparkasse Reutte,513,,,,,6,1918,2023,https://thebanks.eu/banks/10552
Sparkasse Salzkammergut,749,,,,,9,1863,2023,https://thebanks.eu/banks/10554
Sparkasse Schwaz,1871,40,,,,14,1872,2023,https://thebanks.eu/banks/10556
Sparkasse der Stadt Amstetten,624,20,,,65,6,1874,2023,https://thebanks.eu/banks/10559
Sparkasse der Stadt Feldkirch,1900,53,,,240,15,,2023,https://www.sparkasse.at/feldkirch/wir-ueber-uns
Sparkasse der Stadt Kitzbuhel,1182,,,,150,9,1899,2023,https://thebanks.eu/banks/10051
Steiermarkische Sparkasse,21300,980,,,2946,233,1825,2023,https://www.sparkasse.at/steiermaerkische/presse/presseaussendungen/2024/04/09/jahresergebnis-2023
Tiroler Sparkasse,4501,150,3560,,496,26,1822,2023,https://www.sparkasse.at/tirolersparkasse/presseaussendungen/2024/04/25/bilanzergebnis-2023
Waldviertler Sparkasse von 1842,2022,69,,,297,30,1842,2023,https://www.meinbezirk.at/zwettl/c-regionauten-community/die-waldviertler-sparkasse-ist-sehr-kapitalstark-geworden_a6092877
Wiener Neustadter Sparkasse,1702,63,,1206,222,11,1860,2023,https://www.sparkasse.at/wrneustadt/presse/2024/06/21/Bilanz
