name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Erzgebirgssparkasse,5954,,,,689,71,1840,2024,https://de.wikipedia.org/wiki/Erzgebirgssparkasse
Förde Sparkasse,9108,,7228,,1200,58,1796,2024,https://de.wikipedia.org/wiki/F%C3%B6rde_Sparkasse
Hohenzollerische Landesbank Kreissparkasse Sigmaringen,1975,,1450,,257,16,,2024,https://de.wikipedia.org/wiki/Hohenzollerische_Landesbank_Kreissparkasse_Sigmaringen
Kasseler Sparkasse,6698,200,,,902,29,1832,2024,https://de.wikipedia.org/wiki/Kasseler_Sparkasse
Kreissparkasse Ahrweiler,2736,,,,391,26,,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Ahrweiler
Kreissparkasse Diepholz,7324,,,,961,35,1865,2024,https://www.ksk-diepholz.de
Kreissparkasse Düsseldorf,3190,,2660,,491,17,1905,2024,https://de.wikipedia.org/wiki/Kreissparkasse_D%C3%BCsseldorf
Kreissparkasse Freudenstadt,2317,,1745,,297,21,1834,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Freudenstadt
Kreissparkasse Köln,29644,1000,,,,116,1853,2024,https://de.wikipedia.org/wiki/Kreissparkasse_K%C3%B6ln
Kreissparkasse Limburg,1827,,,,,,1854,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Limburg
Kreissparkasse Ludwigsburg,12890,,9400,,1454,91,1852,2024,https://www.ksklb.de
Kreissparkasse Ostalb,6658,,4927,4185,867,54,1852,2024,https://www.ksk-ostalb.de
Kreissparkasse Saarlouis,4605,,3567,,760,60,1857,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Saarlouis
Kreissparkasse Stade,2300,,1464,,360,19,1843,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Stade
Kreissparkasse Traunstein-Trostberg,2769,90,2214,1940,406,30,1863,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Traunstein-Trostberg
Kreissparkasse Tübingen,6576,,,,875,53,1854,2024,https://de.wikipedia.org/wiki/Kreissparkasse_T%C3%BCbingen
Kreissparkasse Verden,3670,,2627,,483,26,1834,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Verden
Kreissparkasse Waiblingen,11054,,7778,,1344,66,1880,2024,https://de.wikipedia.org/wiki/Kreissparkasse_Waiblingen
Mittelbrandenburgische Sparkasse in Potsdam,16800,750,,,1450,130,1840,2024,https://de.wikipedia.org/wiki/Mittelbrandenburgische_Sparkasse
Müritz-Sparkasse,1054,,,,,,1839,2023,https://de.wikipedia.org/wiki/M%C3%BCritz-Sparkasse
Nassauische Sparkasse,,,12422,,1626,101,1840,2024,https://de.wikipedia.org/wiki/Nassauische_Sparkasse
Ostsächsische Sparkasse Dresden,16000,600,,,2000,77,1821,2024,https://de.wikipedia.org/wiki/Osts%C3%A4chsische_Sparkasse_Dresden
Rheinhessen Sparkasse,6725,270,,,800,,1827,2024,https://de.wikipedia.org/wiki/Rheinhessen_Sparkasse
Sparkasse Aachen,14900,,,,1668,85,1885,2024,https://de.wikipedia.org/wiki/Sparkasse_Aachen
Sparkasse Altbayern,3100,,,,500,,2025,2024,https://de.wikipedia.org/wiki/Sparkasse_Altbayern
Sparkasse Altenburger Land,1198,,,,,,1824,2024,https://de.wikipedia.org/wiki/Sparkasse_Altenburger_Land
Sparkasse Amberg-Sulzbach,2000,,,,365,18,,2024,https://de.wikipedia.org/wiki/Sparkasse_Amberg-Sulzbach
Sparkasse Ansbach,5724,,4399,,714,41,,2024,https://de.wikipedia.org/wiki/Sparkasse_Ansbach
Sparkasse Aschaffenburg Miltenberg,7700,,,,1065,66,,2024,https://www.s-abmil.de
Sparkasse Attendorn-Lennestadt-Kirchhundem,1382,,,,181,12,1993,2024,https://de.wikipedia.org/wiki/Sparkasse_Attendorn-Lennestadt-Kirchhundem
Sparkasse Aurich-Norden,2924,,,,423,34,1840,2024,https://de.wikipedia.org/wiki/Sparkasse_Aurich-Norden
Sparkasse Bad Hersfeld-Rotenburg,,,,,383,32,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Bad_Hersfeld-Rotenburg
Sparkasse Bad Kissingen,1600,46,,,273,14,,2024,https://de.wikipedia.org/wiki/Sparkasse_Bad_Kissingen
Sparkasse Bad Neustadt a. d. Saale,1647,,1247,,273,14,,2024,https://de.wikipedia.org/wiki/Sparkasse_Bad_Neustadt_a._d._Saale
Sparkasse Bad Oeynhausen - Porta Westfalica,1651,,,,,,1843,2024,https://de.wikipedia.org/wiki/Sparkasse_Bad_Oeynhausen_-_Porta_Westfalica
Sparkasse Bad Tölz-Wolfratshausen,3234,,,,,,1858,2024,https://de.wikipedia.org/wiki/Sparkasse_Bad_T%C3%B6lz-Wolfratshausen
Sparkasse Baden-Baden Gaggenau,2000,,,,336,17,2009,2024,https://de.wikipedia.org/wiki/Sparkasse_Baden-Baden_Gaggenau
Sparkasse Berchtesgadener Land,2128,,,,,,1843,2024,https://de.wikipedia.org/wiki/Sparkasse_Berchtesgadener_Land
Sparkasse Burgenlandkreis,2953,,2515,,396,31,1997,2024,https://de.wikipedia.org/wiki/Sparkasse_Burgenlandkreis
Sparkasse Dortmund,12100,360,,,1525,19,1841,2024,https://de.wikipedia.org/wiki/Sparkasse_Dortmund
Sparkasse Duisburg,7035,,5405,,1069,41,1844,2024,https://de.wikipedia.org/wiki/Sparkasse_Duisburg
Sparkasse Freiburg-Nördlicher Breisgau,8515,,,,1000,60,1825,2024,https://de.wikipedia.org/wiki/Sparkasse_Freiburg-N%C3%B6rdlicher_Breisgau
Sparkasse Freising Moosburg,2787,,2207,,405,26,2022,2024,https://de.wikipedia.org/wiki/Sparkasse_Freising_Moosburg
Sparkasse Fulda,4251,150,,,680,37,1998,2024,https://de.wikipedia.org/wiki/Sparkasse_Fulda
Sparkasse Fürth,4288,,,,600,31,1827,2024,https://de.wikipedia.org/wiki/Sparkasse_F%C3%BCrth
Sparkasse Gelsenkirchen,3779,,2971,,645,27,1869,2024,https://de.wikipedia.org/wiki/Sparkasse_Gelsenkirchen
Sparkasse Hegau-Bodensee,4130,,,,496,22,2016,2024,https://de.wikipedia.org/wiki/Sparkasse_Hegau-Bodensee
Sparkasse Hilden-Ratingen-Velbert,4205,,3510,,583,21,2003,2024,https://de.wikipedia.org/wiki/Sparkasse_Hilden-Ratingen-Velbert
Sparkasse Hochrhein,3700,100,,,485,28,1856,2024,https://de.wikipedia.org/wiki/Sparkasse_Hochrhein
