name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
BCC Milano,4916,,6200,,570,67,1904,2023,https://thebanks.eu/banks/15472
BCC Pordenonese e Monsile,3149,,2544,,394,58,,2023,https://thebanks.eu/banks/15402
BCC Veneta,6031,,,,730,93,,2023,https://www.bccveneta.it/news/dettaglio_news_div.asp?i_menuID=57412&hNewsID=175332
BCC di Roma,15161,450,,,1454,196,1954,2023,https://thebanks.eu/banks/15537
Banca Agricola Popolare di Ragusa,5375,,5724,3981,753,98,1889,2023,https://thebanks.eu/banks/15569
Banca Cassa di Risparmio di Savigliano,1765,,,,,25,1900,2023,https://thebanks.eu/banks/15580
Banca Centro Credito Cooperativo Toscana-Umbria,3223,,,,,,2016,2023,https://thebanks.eu/banks/18713
Banca Popolare Pugliese,4627,,5250,3139,725,94,1888,2023,https://thebanks.eu/banks/15629
Banca Popolare del Frusinate,,,,,53,12,1992,2023,https://en.wikipedia.org/wiki/Banca_Popolare_del_Frusinate
Banca Popolare del Lazio,1585,,,,154,61,1904,2023,https://thebanks.eu/banks/15634
Banca Popolare di Cortona,534,,,,86,10,1881,2023,https://thebanks.eu/banks/15647
Banca Popolare di Lajatico,1196,,,,132,19,1884,2023,https://thebanks.eu/banks/15649
Banca Popolare di Puglia e Basilicata,5463,,7000,4000,1025,118,1883,2023,https://thebanks.eu/banks/15654
Banca Prealpi SanBiagio,4690,,6060,2300,510,67,1893,2023,https://thebanks.eu/banks/15443
Banca Valsabbina,7020,,,,,71,1898,2023,https://thebanks.eu/banks/15682
Banca d'Alba,,,8500,3100,550,74,1895,2023,https://www.bancadalba.it/banca-d-alba/bilancio/bilancio-2023/
Banca del Piemonte,2733,,,,497,39,1912,2023,https://thebanks.eu/banks/15699
Banca del Territorio Lombardo,3274,,2373,1660,393,66,,2023,https://thebanks.eu/banks/15531
Banca della Marca,3878,,,,412,48,,2023,https://thebanks.eu/banks/15707
Banca delle Terre Venete,3649,120,,,446,58,,2023,https://thebanks.eu/banks/15825
Banca di Cividale,5041,100,,,566,64,1886,2023,https://thebanks.eu/banks/15726
Banca di Credito Popolare,3518,,3400,,559,44,1888,2023,https://thebanks.eu/banks/15370
Banca di Piacenza,4073,,3183,2224,476,56,1936,2023,https://thebanks.eu/banks/15737
Banco di Sardegna,15046,,11400,6900,1933,286,1953,2023,https://thebanks.eu/banks/15767
Cassa Padana BCC,2810,,,,407,59,1893,2023,https://thebanks.eu/banks/15886
Cassa di Risparmio di Cento,,,4100,3000,408,42,1844,2020,https://en.wikipedia.org/wiki/Cassa_di_Risparmio_di_Cento
Cassa di Risparmio di Fermo,2395,,3620,1174,346,56,1837,2023,https://thebanks.eu/banks/15804
Cassa di Risparmio di Fossano,2097,,,,176,18,1904,2023,https://thebanks.eu/banks/15807
Cassa di Risparmio di Orvieto,1494,,1114,1199,273,41,1852,2023,https://thebanks.eu/banks/15809
Cassa di Risparmio di Volterra,2063,,,,422,63,1893,2023,https://thebanks.eu/banks/15817
Credito Cooperativo Ravennate Forlivese e Imolese,5541,,,,600,67,1963,2023,https://thebanks.eu/banks/15959
Credito Emiliano (CREDEM),57023,,,,5153,,1910,2023,https://thebanks.eu/banks/15964
Emil Banca Credito Cooperativo,6384,,,,738,97,2014,2023,https://thebanks.eu/banks/15981
La Cassa di Ravenna,5744,,4809,,608,37,1840,2023,https://thebanks.eu/banks/15812
Raiffeisen Landesbank Sudtirol,3965,,,,110,1,1890,2023,https://thebanks.eu/banks/15883
Raiffeisenkasse Bruneck,1607,,,,143,12,1972,2023,https://thebanks.eu/banks/15910
Raiffeisenkasse Eisacktal,804,,,,,,1920,2023,https://thebanks.eu/banks/15908
Raiffeisenkasse Meran,694,,,,79,5,,2023,https://thebanks.eu/banks/15895
Sparkasse - Cassa di Risparmio di Bolzano,12890,,,,1325,,1854,2023,https://thebanks.eu/banks/15798
