name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Aurskog Sparebank,1556,,,,65,,1846,2023,https://thebanks.eu/banks/9330
Bien Sparebank,456,,,,29,,1885,2023,https://thebanks.eu/banks/9333
Cultura Sparebank,141,,,,26,,1997,2023,https://thebanks.eu/banks/9339
Drangedal Sparebank,518,,,,,,1936,2023,https://thebanks.eu/banks/9340
Eidsberg Sparebank,,,,,,,1848,,https://no.wikipedia.org/wiki/Eidsberg_Sparebank
Etne Sparebank,,,,,,,1859,,https://thebanks.eu/banks/9342
Fana Sparebank,1781,,,,148,,1878,2023,https://thebanks.eu/banks/9345
Flekkefjord Sparebank,893,,,,85,,1837,2023,https://thebanks.eu/banks/9346
Grue Sparebank,371,,,,26,,1862,2023,https://thebanks.eu/banks/9351
Haltdalen Sparebank,175,,,,,,1898,2023,https://thebanks.eu/banks/9352
Haugesund Sparebank,1297,,,,63,,1928,2023,https://thebanks.eu/banks/9354
Helgeland Sparebank,3025,,,,150,3,,2023,https://thebanks.eu/banks/9356
Hjartdal og Gransherad Sparebank,415,,,,22,,1898,2023,https://thebanks.eu/banks/9357
Indre Sogn Sparebank,,,,,,,1971,,https://en.wikipedia.org/wiki/Indre_Sogn_Sparebank
Jaeren Sparebank,1553,,,,,,1870,2023,https://thebanks.eu/banks/9364
Kvinesdal Sparebank,312,,,,36,,1986,2023,https://thebanks.eu/banks/9367
Lillesands Sparebank,356,,,,22,,1852,2023,https://thebanks.eu/banks/9369
Luster Sparebank,401,,,,,,1848,2023,https://thebanks.eu/banks/9373
Marker Sparebank,497,,,,,,1851,2023,https://thebanks.eu/banks/9374
Melhus Sparebank,989,,,,70,,1840,2023,https://thebanks.eu/banks/9376
Odal Sparebank,636,,,,45,,1877,2023,https://thebanks.eu/banks/9380
Ofoten Sparebank,,,,,,,1899,,https://thebanks.eu/banks/9381
Orkla Sparebank,1233,,,,,,1841,2023,https://thebanks.eu/banks/9383
Romsdals Budstikke Sparebank,,,,,,,,,
Sandnes Sparebank,2014,,1304,2634,130,,1875,2023,https://www.bankshift.no/nyheter/sterke-tall-fra-sandnes-sparebank-for-banken-opphorer-her-er-nokkeltallene-for-nye-rogaland-sparebank/310339
Selbu Sparebank,489,,,,,,1859,2023,https://thebanks.eu/banks/9387
Skagerrak Sparebank,2321,,,,,,2017,2023,https://thebanks.eu/banks/18828
Skudenes og Aakra Sparebank,1027,,,,,,1876,2023,https://thebanks.eu/banks/9389
SpareBank 1 BV,,,,,345,,1883,,https://en.wikipedia.org/wiki/SpareBank_1_BV
SpareBank 1 Gudbrandsdal,1117,,,,,,1860,2023,https://thebanks.eu/banks/9391
SpareBank 1 Hallingdal Valdres,1524,,,,,,1870,2023,https://thebanks.eu/banks/9392
SpareBank 1 Helgeland,3025,,,,150,3,,2023,https://thebanks.eu/banks/9356
SpareBank 1 Lom og Skjak,811,,,,,,1873,2023,https://thebanks.eu/banks/9372
SpareBank 1 Modum,,,,,70,,1841,,https://thebanks.eu/banks/9377
SpareBank 1 Nordmore,2454,,,,,,1835,2023,https://thebanks.eu/banks/9394
SpareBank 1 Ringerike Hadeland,2701,,,,278,,1833,2023,https://thebanks.eu/banks/9396
SpareBank 1 Sorost-Norge,8022,,13310,24286,644,,1848,2023,https://www.sparebank1.no/content/dam/SB1/bank/sr-bank/om-oss/Investor/Rapporter/2023/Aarsrapport_2023.pdf
SpareBank 1 Telemark,,,,,,,1848,,https://no.wikipedia.org/wiki/SpareBank_1_Telemark
Sparebanken Din,565,,,,,,2013,2023,https://thebanks.eu/banks/9338
Sparebanken More,6190,,,7286,400,,1843,2023,https://www.sbm.no/om-ossir/in-english/press-releases/solid-annual-result-benefits-the-region/
Sparebanken Narvik,713,,,,,,1901,2023,https://thebanks.eu/banks/9405
Sparebanken Sogn og Fjordane,4748,,,,310,,1988,2023,https://thebanks.eu/banks/9407
Stadsbygd Sparebank,451,,,,,,1890,2023,https://thebanks.eu/banks/9414
Sunndal Sparebank,472,,,,33,,1892,2023,https://thebanks.eu/banks/9416
Tolga-Os Sparebank,549,,,,47,,1865,2023,https://thebanks.eu/banks/9421
Totens Sparebank,1700,,,,90,,1854,2023,https://thebanks.eu/banks/9422
Trøgstad Sparebank,389,,,,18,,1847,2023,https://thebanks.eu/banks/9423
Tysnes Sparebank,316,,,,,,1863,2023,https://thebanks.eu/banks/9424
Valle Sparebank,206,,,,,,,,https://thebanks.eu/banks/9425
Voss Sparebank,540,,,,,,1843,2023,https://thebanks.eu/banks/9430
