name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Aito Saastopankki,1400,,,,,15,2010,2024,https://thebanks.eu/banks/13498
Avain Saastopankki,340,,,,,9,,2023,https://thebanks.eu/banks/13547
Helmi Saastopankki,503,,,,,,,2024,https://thebanks.eu/banks/13531
Lammin Saastopankki,595,,,,75,6,1877,2023,https://thebanks.eu/banks/13557
Lansi-Uudenmaan Saastopankki,757,,,,72,5,,2022,https://thebanks.eu/banks/13409
Myrskyla Saastopankki,317,,,,,4,,2024,https://thebanks.eu/banks/13420
Nooa Saastopankki,792,,,,80,6,2003,2024,https://thebanks.eu/banks/13576
Saastopankki Optia,1984,,,,137,17,1883,2024,https://thebanks.eu/banks/13468
Saastopankki Sinetti,285,,,,35,5,1977,2023,https://thebanks.eu/banks/13338
Someron Saastopankki,961,,,,,,1880,2024,https://thebanks.eu/banks/13619
Arbejdernes Landsbank,11570,250,10791,7078,1075,70,1919,2024,https://thebanks.eu/banks/12838
Danske Andelskassers Bank,2323,,,,,30,1969,2024,https://thebanks.eu/banks/12861
Middelfart Sparekasse,2938,,1970,1099,431,,1853,2024,https://thebanks.eu/banks/12927
Sparekassen Kronjylland,6028,185,,,800,47,1829,2024,https://thebanks.eu/banks/12960
Arion banki,10646,100,,,626,13,2008,2024,https://thebanks.eu/banks/17744
Islandsbanki,10578,,6099,8520,733,12,,2024,https://thebanks.eu/banks/17743
Landsbankinn,14353,,8079,,826,35,,2024,https://www.landsbankinn.is/en/the-bank/investor-relations/news/financial-results-of-landsbankinn-for-2024
Caixa Ontinyent,,,,,178,45,1884,2024,https://www.eldiario.es/comunitat-valenciana/economia/caixa-ontinyent-presenta-beneficio-15-2-millones-euros-2024-incremento-13-respecto-2023_1_12122654.html
Caixa Pollença (Colonya),,,700,,120,24,1880,2024,https://thebanks.eu/banks/13215
Cecabank,3422,,,,625,,2012,2024,https://thebanks.eu/banks/13209
Argenta,53635,1750,,,1204,387,1956,2024,https://thebanks.eu/banks/10661
Crelan,55800,1700,44300,,4327,727,,2024,https://www.crelan.be/sites/default/files/documents/PR_12_03_2025_year-results.pdf
Fio banka,10785,900,9757,2042,167,80,,2023,https://thebanks.eu/banks/10922
MONETA Money Bank,20040,1000,17409,11150,2461,124,,2024,https://thebanks.eu/banks/10924
BCR (Banca Comerciala Romana),28716,,18311,13428,6136,318,1990,2024,https://thebanks.eu/banks/17499
BRD - Groupe Societe Generale,20536,2300,,,6600,388,1990,2024,https://thebanks.eu/banks/17504
Raiffeisen Bank Romania,19438,2200,,,4800,284,,2024,https://thebanks.eu/banks/17482
Raiffeisen Bank Albania,2390,465,,,1274,74,,2024,https://thebanks.eu/banks/19339
MagNet Bank,992,,,,150,14,1995,2024,https://thebanks.eu/banks/14801
Delavska hranilnica,2367,,,,352,35,1991,2024,https://thebanks.eu/banks/17686
Prima banka Slovensko,6632,,,,768,118,1993,2024,https://thebanks.eu/banks/17719
