name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Bjursås Sparbank,,,,,20,1,1910,2023,https://sv.wikipedia.org/wiki/Bjurs%C3%A5s_Sparbank
Dalslands Sparbank,,,,,65,5,1870,2023,https://sv.wikipedia.org/wiki/Dalslands_Sparbank
Ekeby Sparbank,,,,,20,1,1892,2023,https://www.ekebysparbank.se/om-oss.html
Falkenbergs Sparbank,1217,,,,96,3,1849,2023,https://thebanks.eu/banks/17535
Fryksdalens Sparbank,,,,,30,2,1856,2023,https://se.linkedin.com/company/fryksdalens-sparbank
Hälsinglands Sparbank,904,,,,96,5,1848,2023,https://thebanks.eu/banks/17629
Häradssparbanken Mönsterås,,17,,,36,1,1877,2023,https://www.haradssparbanken.se/om-oss.html
Högsby Sparbank,,,,,25,1,1895,2023,https://thebanks.eu/banks/17546
Ivetofta Sparbank i Bromölla,,,,,15,1,1868,2023,https://thebanks.eu/banks/17548
Kinda Ydre Sparbank,,,,,30,4,1867,2023,https://www.kindaydresparbank.se/om-oss.html
Laholms Sparbank,,,,,48,4,1857,2023,https://sv.wikipedia.org/wiki/Laholms_sparbank
Lekebergs Sparbank,,,,,15,1,1867,2023,https://thebanks.eu/banks/17552
Leksands Sparbank,,,,,35,2,1862,2023,https://thebanks.eu/banks/17553
Lönneberga-Tuna-Vena Sparbank,,,,,15,3,1876,2023,https://www.ltvsparbank.se/om-oss.html
Markaryds Sparbank,,,,,20,1,1866,2023,https://thebanks.eu/banks/17557
Mjöbäcks Sparbank,,,,,15,1,1868,2023,https://thebanks.eu/banks/17560
Norrbärke Sparbank,,,,,25,2,1859,2023,https://sv.wikipedia.org/wiki/Norrb%C3%A4rke_Sparbank
Orusts Sparbank,1357,,,,64,4,1893,2023,https://thebanks.eu/banks/17564
Roslagens Sparbank,1124,,,,110,5,1859,2023,https://thebanks.eu/banks/17567
Sala Sparbank,,38,,,80,3,1828,2023,https://sv.wikipedia.org/wiki/Sala_Sparbank
Sidensjö Sparbank,,,,,10,1,1899,2023,https://thebanks.eu/banks/17543
Skurups Sparbank,,,,,20,1,1868,2023,https://thebanks.eu/banks/17572
Snapphanebygdens Sparbank,,,,,15,1,1875,2023,https://sv.wikipedia.org/wiki/Snapphanebygdens_Sparbank
Sparbanken Alingsås,1703,,,,130,5,1833,2023,https://thebanks.eu/banks/17657
Sparbanken Bergslagen,745,,,,41,2,1835,2023,https://thebanks.eu/banks/17520/financials
Sparbanken Boken,,,,,15,3,1884,2023,https://www.sparbankenboken.se/om-oss.html
Sparbanken Eken,722,,,,73,6,1856,2023,https://thebanks.eu/banks/17659
Sparbanken Gotland,,,,,16,2,2005,2023,https://sv.wikipedia.org/wiki/Sparbanken_Gotland
Sparbanken Göinge,585,,,,49,4,1849,2023,https://thebanks.eu/banks/17661
Sparbanken Lidköping,979,,680,709,57,1,1834,2023,https://www.mynewsdesk.com/se/sparbankenlidkoping/pressreleases/sparbanken-lidkoeping-bokslutskommunike-2024-3369529
Sparbanken Mälardalen,1043,,,,50,3,1835,2023,https://thebanks.eu/banks/17587
Sparbanken Nord,2696,,,,175,11,1852,2023,https://thebanks.eu/banks/17582
Sparbanken Sjuhärad,2799,,,,160,8,1831,2023,https://thebanks.eu/banks/17669
Sparbanken Skaraborg,1483,,,,109,4,1847,2023,https://thebanks.eu/banks/17583
Sparbanken Skåne,9244,,,,489,22,2014,2023,https://thebanks.eu/banks/17625
Sparbanken Spira,641,,,,54,3,1867,2023,https://thebanks.eu/banks/17597
Sparbanken Tanum,,,,,25,2,1860,2023,https://thebanks.eu/banks/17585
Sparbanken Tranemo,,,339,348,30,2,1876,2023,https://www.sparbankentranemo.se/om-sparbanken-tranemo.html
Sparbanken i Enköping,1245,,,,75,4,1835,2023,https://thebanks.eu/banks/17577
Sparbanken i Karlshamn,1110,43,,,91,6,1836,2023,https://thebanks.eu/banks/17579
Södra Hestra Sparbank,,,,,15,2,1874,2023,https://www.sodrahestrasparbank.se/om-oss.html
Sölvesborg-Mjällby Sparbank,,,,,35,2,1869,2023,https://thebanks.eu/banks/17595
Sörmlands Sparbank,1848,,,,130,5,1832,2023,https://thebanks.eu/banks/17588
Tidaholms Sparbank,,,,,25,1,1860,2023,https://thebanks.eu/banks/17596
Tjörns Sparbank,,,,,50,2,1884,2023,https://thebanks.eu/banks/17598
Ulricehamns Sparbank,,,,,30,1,1862,2023,https://thebanks.eu/banks/17599
Vadstena Sparbank,,,,,15,1,1842,2023,https://thebanks.eu/banks/17601
Valdemarsviks Sparbank,,,,,10,1,1871,2023,https://thebanks.eu/banks/17602
Varbergs Sparbank,1744,,1331,1350,135,3,1836,2023,https://thebanks.eu/banks/17603
Vimmerby Sparbank,267,,,,20,1,1849,2023,https://thebanks.eu/banks/17607
Virserums Sparbank,,,,,15,1,1867,2023,https://thebanks.eu/banks/17608
Westra Wermlands Sparbank,1348,,,,111,7,1856,2023,https://thebanks.eu/banks/17605
Ålems Sparbank,,,,,10,1,1880,2023,https://thebanks.eu/banks/17609
Åse Viste Sparbank,,,,,15,1,1866,2023,https://thebanks.eu/banks/17610
Ölands Bank,518,,,,44,2,1832,2023,https://thebanks.eu/banks/17678
