name,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence
Erzgebirgssparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Förde Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Hohenzollerische Landesbank Kreissparkasse Sigmaringen,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kasseler Sparkasse,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Ahrweiler,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Diepholz,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Düsseldorf,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Freudenstadt,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Köln,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
Kreissparkasse Limburg,advanced,https://apps.apple.com/us/app/sparkasse-ihre-mobile-filiale/id320599923,advanced,https://www.sparkasse.de/pk/ratgeber/finanzplanung/banking-tipps/psd-2.html,advanced,https://www.sparkasse.de/pk/produkte/konten-und-karten/girokonto/konto-eroeffnen.html,advanced,https://www.sparkasse-koelnbonn.de/de/home/service/chatbot-linda.html,advanced,https://www.f-i.de/loesungen/das-machen-wir
